No,GEO,Name,Type,Ingredient,,,,,Tag,,
220,Italian,Pizza Marghenta,Pizza,Mozarela,Basil,Olive Oil,Tomato,Flour,,,
221,Italian,Polenta,Porridge,Parmesan,Corn,Butter,Milk,,,,
222,Italian,Shrimp Fra Diavolo,Seafood,Wine,Chili,Garlic,Shrimp,Tomato,,,
223,Italian,Gamberi Al Rosmarino,Seafood,Rosemary,Bacon,Shrimp,Tomato,Garlic,,,
224,Italian,Cacciucco,Seafood,Mussel,Wine,Squid,Fish,Stock,,,
225,Italian,Soup Crasse,Soup,Cheese,Bread,Stock,Onion,Butter,,,
226,Italian,Finocchio Al Forno,Vegetables,Fennel,Parmesan,Butter,Cream,,,,
227,Japanese,Anpan,Bread,Red Bean,Sugar,Milk,Flour,Butter,,,
228,Japanese,Wagashi,Confection,Red Bean,Sugar,Rice,,,,,
229,Japanese,Matcha Mochi Ice Cream,Dessert,Tea,Ice Cream,Rice,Sugar,,,,
230,Japanese,Anmitsu,Dessert,Gelatin,Peach,Red Bean,Strawberry,Orange,,,
231,Japanese,Chawanmushi,Eggs,Dashi,Egg,Soy Sauce,Mushroom,Shrimp,,,
232,Japanese,Sake Kurimu Korokke,Fritter,Salmon,Onion,Cream,Milk,Bread Crumbs,,,
233,Japanese,Ebi Korokke,Fritter,Onion,Potato,Shrimp,Egg,Bread Crumbs,,,
234,Japanese,Gyuniku Korokke,Fritter,Egg,Beef,Potato,Onion,Bread Crumbs,,,
235,Japanese,Chicken Teriyaki,Meat,Mirin,Sugar,Chicken,Soy Sauce,,,,
236,Japanese,Buta No Kakuni,Meat,Dashi,Mirin,Sugar,Soy Sauce,Pork,,,
237,Japanese,Yakitori,Meat,Sake,Mirin,Soy Sauce,Sugar,Chicken,,,
238,Japanese,Shio Ramen,Noodles,Seaweed,Pork,Chicken,Stock,Noodles,,,
239,Japanese,Shoyu Ramen,Noodles,Seaweed,Egg,Soy Sauce,Stock,Noodles,,,
240,Japanese,Sukiyaki,Noodles,Dashi,Sugar,Soy Sauce,Beef,Noodles,,,
241,Japanese,Zaru Soba,Noodles,Buckwheat,Mirin,Seaweed,Scallion,Soy Sauce,,,
242,Japanese,Yakisoba,Noodles,Worcestershire Sauce,Noodles,Cabbage,Pork,Onion,,,
243,Japanese,Tonkotsu Ramen,Noodles,Seaweed,Sesame,Pork,Stock,Noodles,,,
244,Japanese,Hokkaido Ramen,Noodles,Bean Paste,Corn,Butter,Stock,Noodles,,,
245,Japanese,Miso Ramen,Noodles,Bean Paste,Seaweed,Egg,Stock,Noodles,,,
246,Japanese,Okonomiyaki,Pancake,Worcestershire Sauce,Yam,Sauerkraut,Cabbage,Flour,,,
247,Japanese,Omurice,Rice,Ketchup,Egg,Carrot,Rice,Chicken,,,
248,Japanese,Oyakodon,RIce,Dashi,Soy Sauce,Egg,Chicken,Rice,,,
249,Japanese,Curry Rice,Rice,Curry,Carrot,Rice,Beef,Potato,,,
250,Japanese,Katsudon,Rice,Dashi,Mirin,Egg,Pork,Rice,,,
251,Japanese,Hayashi Rice,Rice,Wine,Onion,Tomato,Rice,Beef,,,
252,Japanese,Gyudon,Rice,Sake,Dashi,Soy Sauce,Beef,Rice,,,
253,Japanese,Unadon,Rice,Eel,Mirin,Soy Sauce,Sugar,Rice,,,
254,Japanese,Sake Zushi,Rice,Sake,Octopus,Shrimp,Mushroom,Rice,,,
255,Japanese,Onigiri,RIce,Plum,Pickle,Seaweed,RIce,Fish,,,
256,Japanese,Gomokuzushi,Rice,Seaweed,Egg,Carrot,Mushroom,Rice,,,
257,Japanese,Tekkadon,Rice,Sake,Mirin,Tuna,Soy Sauce,Rice,,,
258,Japanese,Kamameshi,RIce,Mirin,Soy Sauce,Chicken,Mushroom,Rice,,,
259,Japanese,Edomae Chirashizushi,Rice,Seaweed,Salmon,Tuna,Shrimp,RIce,,,
260,Japanese,Gindara Teriyaki,Seafood,Mirin,Soy Sauce,Sugar,Fish,,,,
261,Japanese,Ebi Tempura,Seafood,Dashi,Turnip,Soy Sauce,Shrimp,Flour,,,
262,Japanese,Takoyaki,Seafood,Worcestershire Sauce,Octopus,Seaweed,Sauekraut,Flour,,,
263,Japanese,Oden,Stew,Fish Cake,Dashi,Soy Sauce,Tofu,Egg,,,
264,Japanese,Yasai Tempura,Vegetables,Bread Crumbs,Onion,Mushroom,Carrot,Potato,,,
265,Korean,Red Bean Bingsu,Dessert,Ice Cream,Condensed Milk,Red Bean,Rice,,,,
266,Korean,Buldak,Meat,Gochujang,Cheese,Chili,Rice,Chicken,,,
267,Korean,Makchang Gui,Meat,Offal,Bean Paste,Scallion,Garlic,,,,
268,Korean,Dakjjim,Meat,Chicken,Soy Sauce,Chili,Sugar,Noodles,,,
269,Korean,Samgyeopsal,Meat,Leaf,Sesame,Onion,Garlic,Pork,,,
270,Korean,Bulgogi,Meat,Sesame,Garlic,Soy Sauce,Beef,Sugar,,,
271,Korean,Dak Galbi,Meat,Sweet Potato,Gochujang,Cabbage,Chicken,Rice,,,
272,Korean,Jajangmyeon,Noodles,Bean Paste,Pork,Onion,Sugar,Noodles,,,
273,Korean,Japchae,Noodles,Sweet Potato,Sesame,Onion,Carrot,Noodles,,,
274,Korean,Mul Naengmyeon,Noodles,Pear,Buckwheat,Cucumber,Egg,Vinegar,,,
275,Korean,Bibim Naengmyeon,Noodles,Pear,Buckwheat,Gochujang,Cucumber,Egg,,,
276,Korean,Kimchi Jeon,Pancake,Kimchi,Onion,Pork,Flour,Egg,,,
277,Korean,Pajeon,Pancake,Scallion,Egg,Flour,Oil,,,,
278,Korean,Bindaetteok,Pancake,Kimchi,Bean Sprouts,Beans,Scallion,Pork,,,
279,Korean,Hotteok,Pancake,Cinnamon,Peanut,Honey,Sugar,Flour,,,
280,Korean,Dakjuk,Porridge,Scallion,Garlic,Stock,Rice,Chicken,,,
281,Korean,Hobakjuk,Porridge,Pine Nut,Squash,Sugar,RIce,,,,
282,Korean,Tteokbokki,Rice,Fish Cake,Gochujang,Sugar,Egg,Rice,,,
283,Korean,Bibimbap,Rice,Gochujang,Spinach,Bean Sprouts,Mushroom,Rice,,,
284,Korean,Gimbap,Rice,Pickle,Seaweed,Spinach,Egg,Rice,,,
285,Korean,Galbitang,Soup,Turnip,Beef,Stock,Onion,Garlic,,,
286,Korean,Manduguk,Soup,Chives,Anchovy,Pork,Mushroom,Stock,,,
287,Korean,Samgyetang,Soup,Ginseng,Date,Garlic,Rice,Chicken,,,
288,Korean,Haemul Sundubu Jjigae,Stew,Clams,Kimchi,Stock,Egg,Tofu,,,
289,Korean,Galbijjim,Stew,Turnip,Carrot,Beef,Sugar,Soy Sauce,,,
290,Korean,Kimchi Jjigae,Stew,Kimchi,Pork,Scallion,Tofu,Onion,,,
291,Korean,Budae Jjigae,Stew,Gochujang,Kimchi,Sausage,Cabbage,Noodles,,,
292,Korean,Doenjang Jjigae,Stew,Squash,Bean Paste,Tofu,Onion,Chili,,,
293,Lao,Nam Khao,Salad,Leaf Vegetables,Peanut,Sausage,Coconut,Rice,,,
294,Lao,Mu Nam Tok,Salad,Mint,Lime,Chili,Fish Sauce,Pork,,,
295,Lao,Larb Mu,Salad,Lime,Chili,Fish Sauce,Rice,Pork,,,
296,Lao,Tam Mak Hoong,Salad,Papaya,Lime,Sugar ,Chili,Fish Sauce,,,
297,Lao,Ping Sin Nam Tok,Salad,Blood,Beef,Chili,Fish Sauce,Lime,,,
298,Lao,Khao Jee,Sandwich,Offal,Coriander,Sausage,Cucumber,Bread,,,
299,Luxembourgish,Judd Mat Gaardebounen,Meat,Cloves,Gravy,Bean,Carrot,Pork,,,
300,Macedonian,Selsko Meso,Meat,Sausage,Pork,Beef,Mushroom,Tomato,,,
301,Macedonian,Tavce Gravce,Vegetables,Peppercorn,Beans,Chili,Onion,,,,
302,Malaysian,Murtabak,Bread,Mutton,Curry,Flatbread,Butter,Egg,,,
303,Malaysian,Bubur Cha Cha,Dessert,Sweet Potato,Yam,Tapioca,Sugar,Coconut,,,
304,Malaysian,Ayam Kapitan,Meat,Tamarind,Shrimp Paste,Coconut,Lime,Chicken,,,
305,Malaysian,Ayam Taugeh,Meat,Bean Sprouts,Chicken,Garlic,Scallion,Chili,,,
306,Malaysian,Kolo Mee,Noodles,Char Siu,Bok Choy,Scallion,Pork,Noodles,,,
307,Malaysian,Maggi Goreng,Noodles,Curry,Bok Choy,Tofu,Egg,Noodles,,,
308,Malaysian,Mee Siam,Noodles,Shrimp Paste,Tamarind,Bean Paste,Chili,Vermicelli,,,
309,Malaysian,Apam Balik,Pancake,Peanut,Egg,Coconut,Sugar,Flour,,,
310,Malaysian,Heong Peah,Pastry,Sesame,Sugar,Flour,Butter,Onion,,,
311,Malaysian,Tau Sar Piah,Pastry,Beans,Onion,Butter,Sugar,Flour,,,
312,Malaysian,Nasi Kandar,Rice,Curry,Squid,Shrimp,Chicken,Rice,,,
313,Malaysian,Sambal Udang,Seafood,Shrimp Paste,Tamarind,Shrimp,Onion,Chili,,,
314,Norwegian,Pinnekjott,Meat,Lamb ,Turnip,Potato,,,,,
315,Norwegian,Rokt Laks Smorrebrod,Sandwich,Capers,Salmon,Cheese,Bread,Egg,,,
316,Norwegian,Gravlaks,Seafood,Mustard,Dill,Salmon,Bread,Sugar,,,
317,Norwegian,Rokt Laks Omelett,Seafood,Chives,Salmon,Butter,Cheese,Egg,,,
318,Norwegian,Lapskaus,Stew,Turnip,Onion,Potato,Carrot,Beef,,,
319,Norwegian,Farikal,Stew,Mutton,Peppercorn,Potato,Cabbage,,,,
320,Polish,Placki Ziemniaczane,Potatoes,Sour Cream,Pork,Beef,Potato,Egg,,,
321,Portuguese,Migas A Alentejana,Bread,Onion,Pork,Olive Oil,Garlic,Bread,,,
322,Portuguese,Bolo De Mel,Cake,Cloves,Walnut,Almond,Honey,Flour,,,
323,Portuguese,Arroz Doce,Dessert,Cinnamon,Lemon,Milk,Sugar,Rice,,,
324,Portuguese,Carne De Porco A Alentejana,Meat,Clams,Paprika,Coriander,Wine,Pork,,,
325,Portuguese,Frango Assado Com Piripiri,Meat,Paprika,Lemon,Vinegar,Chili,Chicken,,,
326,Portuguese,Rojoes A Moda Do Minho,Meat,Blood,Wine ,Bay Leaf,Paprika,Pork,,,
327,Portuguese,Pastel De Nata,Pastry,Custard,Cinnamon,Egg,Flour,Sugar,,,
328,Portuguese,Bacalhau Com Todos,Seafood,Carrot,Cabbage,Egg,Fish,Potato,,,
329,Portuguese,Caldeirada,Seafood,Mussels,Wine ,Shrimp,Potato,Fish,,,
330,Portuguese,Bacalhau A Ze Do Pipo,Seafood,Mayonaise,Fish,Milk,Potato,Onion,,,
331,Portuguese,Caldo Verde,Soup,Leaf Vegetables,Sausage,Onion,Garlic,Potato,,,
332,Portuguese,Acorda Alentejana,Soup,Coriander,Garlic,Stock,Egg,Bread,,,
333,Romanian,Mamaliga,Porridge,Corn,Sour Cream,Cheese,,,,,
334,Russian,Sharlotka,Cake,Apple,Egg,Butter,Flour,Sugar,,,
335,Russian,Zapekanka,Cake,Vanilla,Raisin,Sugar,Egg,Cheese,,,
336,Russian,Beef And Onion Pirozhki,Meat,Dill,Onion,Egg,Beef,Flour,,,
337,Russian,Syrniki,Pancake,Oil,Flour,Sugar,Egg,Cheese,,,
338,Russian,Caviar On Blini,Pancake,Caviar,Sour Cream,Dill,Flour,,,,
339,Russian,Olivier Salad,Salad,Pickle,Ham,Mayonaise,Egg,Potato,,,
340,Russian,Shchi,Soup,Sauerkraut,Carrot,Potato,Cabbage,Onion,,,
341,Russian,Solyanka,Soup,Pickle,Sour Cream,Dill,Sausage,Beef,,,
342,Scottish,Tattie Scone,Bread,Potato,Egg,Flour,Butter,Milk,,,
343,Scottish,Cranachan,Dessert,Spirit,Oats,Raspberry,Honey,Cream,,,
344,Singaporean,Katong Laksa ,Noodles,Fish Cake,Curry,Shrimp,Coconut,Rice,,,
345,Singaporean,Durian Cream Puffs,Pastry,Durian,Egg,Cream,Flour,Sugar,,,
346,Singaporean,Hainanese Chicken Rice,Rice,Pandan,Garlic,Ginger,Chicken,Rice,,,
347,Singaporean,Sambal Kangkong,Vegetables,Spinach,Shrimp Paste,Onion,Garlic,Chili,,,
348,Spanish,Tarta De Santiago,Cake,Almond,Wine,Egg,Sugar,Flour,,,
349,Spanish,Polvorones,Cookie,Almond,Butter,Milk,Sugar,Flour,,,
350,Spanish,Cochifrito,Meat,Rosemary,Parsley,Lamb,Olive Oil,Garlic,,,
351,Spanish,Carne Gobernada,Meat,Wine,Beef,Onion,Garlic,,,,
352,Spanish,Fideua,Noodles,Saffron,Mussel,Paprika,Shrimp,Vermicelli,,,
353,Spanish,Tortell,Pastry,Candied Fruits,Almond,Sugar,Butter,Flour,,,
354,Spanish,Papas Arrugadas,Potatoes,Coriander,Paprika,Garlic,Potato,Olive Oil,,,
355,Spanish,Arroz A La Cubana,Rice,Banana,Tomato,Egg,Rice,,,,
356,Spanish,Marmitako,Seafood,Tuna,Bell Pepper,Onion,Tomato,Potato,,,
357,Spanish,Polbo A Feira,Seafood,Octopus,Paprika,Olive Oil,Potato,Bread,,,
358,Spanish,Caldereta Asturiana,Seafood,Lobster,Wine,Crab,Tomato,Fish,,,
359,Spanish,Gerezi Beltza Arno Gorriakin,Soup,Wine,Cherry,Sour Cream,Sugar,,,,
360,Spanish,Cocido Madrileno,Stew,Chickpea,Ham,Potato,Beef,Pork,,,
361,Spanish,Fabada Asturiana,Stew,Saffron,Blood Sausage,Bean,Sausage,Pork,,,
362,Spanish,Escalivada,Vegetables,Eggplant,Bell Pepper,Olive Oil,Onion,Garlic,,,
363,Spanish,Tombet,Vegetables,Eggplant,Bell Pepper,Tomato,Garlic,Potato,,,
364,Swedish,Ostkaka,Cake,Lingonberry,Almond,Sugar,Egg,Cheese,,,
365,Swedish,Prinsesstarta,Cake,Raspberry,Almond,Sugar,Cream,Flour,,,
366,Swedish,Risgrynsgrot,Dessert,Cinnamon,Sugar,Milk,Butter,Rice,,,
367,Swedish,Kroppkaka,Dumpling,Lingonberry,Bacon,Butter,Onion,Potato,,,
368,Swedish,Svenska Kottbullar,Meat,Gravy,Lingonberry,Pork,Beef,Bread Crumbs,,,
369,Swedish,Flygande Jacob,Meat,Bacon,Banana,Peanut,Cream,Chicken,,,
370,Swedish,Kaldolmar,Meat,Gravy,Lingonberry,Potato,Cabage,Pork,,,
371,Swedish,Pyttipanna,Meat,Sausage,Beet,Egg,Onion,Potato,,,
372,Swedish,Smorgastarta,Sandwich,Mayonaise,Ham,Shrimp,Bread Crumbs,Egg,,,
373,Swedish,Inlagd Sill,Seafood,Cloves,Peppercorn,Onion,Vinegar,Fish,,,
374,Swedish,Svartsoppa,Soup,Blood,Apricot,Wine,Stock,Vinegar,,,
375,Swedish,Nyponsoppa,Soup,Flower,Sugar,Flour,Cream,,,,
376,Swiss,Zuger Kirschtorte,Cake,Spirit,Hazelnut,Cherry,Butter,Flour,,,
377,Swiss,Raclette,Cheese,Pickle,Beef,Onion,Cheese,Potato,,,
378,Swiss,Basler Lackerli,Cookie,Candied Fruit,Hazelnut,Cinamon,Honey,Flour,,,
379,Swiss,Brunsli,Cookie,Cloves,Almond,Cinamon,Chocolate,Sugar,,,
380,Swiss,Chrabeli,Cookie,Spirit,Anise,Egg,Sugar,Flour,,,
381,Swiss,Birchermuesli,Dessert,Oat,Yogurt,Almond,Apple,Lemon,,,
382,Swiss,Apfelkuchlein,Fritter,Cider,Hazelnut,Vanilla,Apple,Flour,,,
383,Swiss,Berner Platte,Meat,Ham,Sausage,Sauerkraut,Pork,Beef,,,
384,Swiss,Zurcher Geschnetzeltes,Meat,Veal,Offal,Wine,Cream,Mushroom,,,
385,Swiss,Papet Vaudois,Meat,Scallion,Sausage,Wine,Butter,Potato,,,
386,Swiss,Alplermagronen,Pasta,Apple,Pasta,Potato,Cheese,Onion,,,
387,Swiss,Cholera,Pastry,Ham,Apple,Cheese,Flour,Potato,,,
388,Swiss,Bundner Nusstorte,Pastry,Walnut,Butter,Cream,Sugar,Flour,,,
389,Swiss,Bolletunne,Pastry,Bacon,Onion,Cream,Egg,Flour,,,
390,Swiss,Emmental Apple Rosti,Potatoes,Apple,Onion,Butter,Potato,Cheese,,,
391,Swiss,Rosti,Potatoes,Potato,Butter,Cheese,,,,,
392,Swiss,Ticinese Rissoto,Rice,Saffron,Sausage,Wine,Stock,Rice,,,
393,Swiss,Apple Wine Soup With Roast Beef,Soup,Cider,Apple,Beef,Stock,Carrot,,,
394,Taiwanese,Sheng Jian Bao,Dumpling,Sesame,Cabbage,Pork,Stock,Flour,,,
395,Taiwanese,He Zai Jian,Eggs,Oyster,Animal Fat,Flour,Egg,Scallion,,,
396,Taiwanese,Oa Misua,Noodles,Oyster,Onion,Soy Sauce,Stock,Vermicelli,,,
397,Taiwanese,Niu Rou Mian,Noodles,Five Spice Powder,Bak Choy,Beef,Stock,Noodles,,,
398,Taiwanese,Dan Zai Mian,Noodles,Coriander,Shrimp,Pork,Stock,Noodles,,,
399,Taiwanese,Fengli Su,Pastry,Pineapple,Butter,Sugar,Flour,Egg,,,
400,Taiwanese,Dachang Bao Xiaochang,Rice,Pickle,Sausage,Cabbage,Garlic,Rice,,,
401,Thai,Takoh,Dessert,Leaf,Tapioca,Corn,Coconut,Sugar,,,
402,Thai,Khao Niao Mamuang,Dessert,Mango,Coconut,Rice,Sugar,,,,
403,Thai,Hoy Tod,Eggs,Oyster,Coriander,Bean Sprouts,Egg,Oil,,,
404,Thai,Gaeng Phet Pet Yang,Meat,Basil,Curry,Duck,Chili,Coconut,,,
405,Thai,Phat Kaphrao Gai,Meat,Basil,Fish Sauce,Garlic,Chili,Chicken,,,
406,Thai,Moo Satay,Meat,Turmeric,Curry,Peanut,Coconut,Pork,,,
407,Thai,Gai Phat Met Mamuang,Meat,Cashew,Fish Sauce,Scalion,Chicken,Chili,,,
408,Thai,Kuay Teow Reua,Noodles,Blood,Spinach,Chili,Pork,Vermicelli,,,
409,Thai,Pad See Ew,Noodles,Bak Choy,Fish Sauce,Soy Sauce,Egg,Noodles,,,
410,Thai,Pad Thai,Noodles,Tamarind,Lime,Tofu,Noodles,Fish Sauce,,,
411,Thai,Khao Soi,Noodles,Pickle,Curry,Coconut,Lime,Noodles,,,
412,Thai,Khao Moo Daeng,Rice,Char Siu,Sausage,Soy Sauce,Rice,Egg,,,
413,Thai,Khao Pad Tom Yum,Rice,Lemongrass,Lime,Chili,Ginger,Rice,,,
414,Thai,Yam Mamuang,Salad,Mango,Fish Sauce,Sugar,Chili,Lime,,,
415,Thai,Som Tam Ponlamai,Salad,Pineapple,Apple,Chili,Lime,Fish Sauce,,,
416,Thai,Tod Man Pla,Seafood,Fish Cake ,Long Beans,Curry,Lime,Bread Crumbs,,,
417,Thai,Hor Mok Ma Prao On,Seafood,Curry,Coconut,Chili,Fish,Shrimp,,,
418,Thai,Tom Kha Kai,Soup,Stock,Ginger,Lime,Chicken,Coconut,,,
419,Thai,Tom Saap,Soup,Lemongrass,Lime,Chili,Pork,Stock,,,
420,Thai,Phat Phak Boong Fai Daeng,Vegetables,Bean Paste,Spinach,Fish Sauce,Chili,Garlic,,,
421,Ukranian,Vatrushka,Pastry,Raisin,Milk,Cheese,Sugar,Flour,,,
422,Ukranian,Borscht,Soup,Sour Cream,Beet,Cabbage,Carrot,Stock,,,
423,Vietnamese,Ca Phe Trung,Dessert,Coffee,Condensed Milk,Butter,Egg,,,,
424,Vietnamese,Banh Canh Gio Heo,Noodles,Tapioca,Fish Sauce,Pork,Stock,Noodles,,,
425,Vietnamese,Pho Tai,Noodles,Oxtail,Coriander,Anise,Beef,Noodles,,,
426,Vietnamese,Banh Canh Cua,Noodles,Tapioca,Crab,Stock,Noodles,Soy Sauce,,,
427,Vietnamese,Bot Chien,Pancake,Turnip,Carrot,Egg,Soy Sauce,Rice,,,
428,Vietnamese,Banh Xeo,Pancake,Turmeric,Bean Sprouts,Shrimp,Pork,Flour,,,
429,Vietnamese,Banh Pate So,Pastry,Offal,Fish Sauce,Mushroom,Pork,Flour,,,
430,Vietnamese,Bun Bo Nam Bo,Salad,Cucumber,Carrot,Fish Sauce,Beef,Vermicelli,,,
431,Vietnamese,Nom Hoa Chuoi,Salad,Banana Blossom,Mint,Peanut,Chili,Lime,,,
432,Vietnamese,Ca Kha To,Seafood,Fish Sauce,Sugar,Garlic,Scalion,Fish,,,
433,Vietnamese,Cha Ca,Seafood,Mint,Coriander,Dill,Turmeric,Fish,,,
434,Vietnamese,Bi Cuon,Wrap,Mint,Cucumber,Pork,Rice,Vermicelli,,,
435,Vietnamese,Cha Gio,Wrap,Pork,Mushroom,Vermicelli,Oil,Flour,,,
436,Vietnamese,Goi Cuon,Wrap,Mint,Pork,Shrimp,Rice,Vermicelli,,,
437,Vietnamese,Bo Bia,Wrap,Sausage,Turnip,Egg,Carrot,Flour,,,